,name,male,culture,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,popularity,identity,isAlive
0,Viserys II Targaryen,1,,,0,0,0,0,0,0,0,,11,1,0.605351171,king,0
1,Walder Frey,1,Rivermen,House Frey,1,1,1,1,1,1,1,97,1,1,0.89632107,knight,1
2,Addison Hill,1,,House Swyft,0,0,0,1,0,0,1,,0,0,0.267558528,lord,1
3,Aemma Arryn,0,,House Arryn,0,0,0,0,0,1,1,23,0,0,0.183946488,official,0
4,Sylva Santagar,0,Dornish,House Santagar,0,0,0,1,0,1,1,29,0,0,0.043478261,noble,1
5,Tommen Baratheon,1,,,0,0,0,0,0,0,0,,5,1,1,king,1
6,Valarr Targaryen,1,Valyrian,House Targaryen,0,0,0,0,0,1,1,26,0,0,0.431438127,prince,0
7,Viserys I Targaryen,1,,,0,0,0,0,0,0,0,,5,1,0.678929766,king,0
8,Wilbert,1,,,0,0,1,0,0,0,1,,0,0,0.006688963,knight,0
9,Wilbert Osgrey,1,,House Osgrey,0,0,0,0,0,0,1,,0,0,0.02006689,knight,1
10,Will,1,,Night's Watch,1,1,0,0,0,0,0,,0,0,0.163879599,warrior,0
11,Will (orphan),0,,,0,0,0,1,0,0,0,,0,0,0.003344482,smallfolk,1
12,Will (squire),1,,,0,0,0,0,0,0,0,,0,0,0.003344482,noble,1
13,Will (Standfast),0,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
14,Will (Treb),1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
15,Will Humble,1,Ironborn,House Humble,0,0,0,1,0,0,0,,0,0,0.013377926,warrior,1
16,Willam,1,,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk,1
17,Willem Wylde,1,,House Wylde,0,0,0,0,0,0,1,,0,0,0.02006689,knight,1
18,Willifer,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official,1
19,Willit,1,,House Swyft,0,1,0,0,0,0,0,,0,0,0.010033445,smallfolk,1
20,Willis Wode,1,,House Wode,1,0,0,1,0,0,1,,0,0,0.02006689,knight,1
21,Willis Fell,0,,House Fell,0,0,0,0,0,0,1,,0,0,0.023411371,lord,1
22,Willow Heddle,0,,Brotherhood Without Banners,0,0,0,1,0,0,0,16,0,0,0.033444816,smallfolk,1
23,Willum,1,,,1,0,0,0,0,0,1,,0,0,0,knight,1
24,Wolmer,1,,House Webber,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
25,Willow Witch-eye,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.050167224,warrior,0
26,Woth,1,,,0,1,0,0,0,0,0,,0,0,0.030100334,warrior,0
27,Wulfe,1,Ironborn,House Greyjoy,0,0,0,1,1,0,0,,0,0,0.023411371,warrior,1
28,Wyl the Whittler,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk,1
29,Wyl (guard),0,Northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.026755853,smallfolk,0
30,Wyl Waynwood,0,,House Waynwood,0,0,0,0,0,0,0,,0,0,0.013377926,noble,0
31,Wun Weg Wun Dar Wun,1,,,0,0,0,0,1,0,0,,0,0,0.050167224,warrior,1
32,Wylla,1,,House Dayne,1,0,1,0,0,0,0,,0,0,0.026755853,smallfolk,1
33,Wynafryd Manderly,0,,House Manderly,0,0,0,1,1,0,0,25,0,0,0.056856187,noble,1
34,Xhondo,1,Summer Isles,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk,1
35,Ygon Farwynd,1,,House Farwynd of the Lonely Light,0,0,0,1,0,0,0,,0,0,0.010033445,noble,1
36,Yna,1,,Happy Port,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk,1
