,Unnamed: 0,name,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,identity
0,0,Viserys II Targaryen,1,,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,1,1,0.605351170568561,0,king
1,1,Walder Frey,1,Rivermen,208.0,,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,1,1,0.8963210702341129,1,knight
2,2,Addison Hill,1,,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,0,0,0.267558528428093,1,lord
3,3,Aemma Arryn,0,,82.0,105.0,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,23.0,0,0,0,0.183946488294314,0,official
4,4,Sylva Santagar,0,Dornish,276.0,,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,0,0,0.0434782608695652,1,noble
5,5,Tommen Baratheon,1,,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,1,king
6,6,Valarr Targaryen,1,Valyrian,183.0,209.0,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,1,0.431438127090301,0,prince
7,7,Viserys I Targaryen,1,,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,0.678929765886287,0,king
8,8,Wilbert,1,,,298.0,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.00668896321070234,0,knight
9,9,Wilbert Osgrey,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,1,knight
10,10,Will,1,,,297.0,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0,0,0.163879598662207,0,warrior
