,name,male,culture,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,popularity,identity
1268,Ordello,0,Pentoshi,,0,0,0,0,1,0,1,,0,0,0.013377926,official
1275,Oswell Kettleblack,1,,House Kettleblack,0,0,1,1,1,0,0,,0,0,0.056856187,smallfolk
1310,Rennifer Longwaters,1,,House Longwaters,0,0,0,1,1,0,1,,0,0,0.016722408,official
1312,Rhogoro,1,Dothraki,,1,0,0,1,0,0,1,,0,0,0.010033445,noble
1336,Rugen,1,,,1,0,1,1,0,0,1,,0,0,0.023411371,official
1353,Scolera,0,,Faith of the Seven,0,0,0,1,1,0,0,,0,0,0.016722408,smallfolk
1429,Walda Rivers,0,,House Frey,0,1,1,1,0,0,0,11,0,0,0.033444816,noble
1484,Cohollo,1,Dothraki,Khal,1,0,0,0,0,0,0,,0,0,0.033444816,warrior
1488,Crawn,1,Vale mountain clans,Moon Brothers,0,1,0,0,0,0,0,,0,0,0.016722408,lord
1548,Mago,0,Dothraki,,1,0,1,1,1,0,0,,0,0,0.033444816,warrior
1603,Qotho,1,Dothraki,,1,0,0,0,0,0,0,,0,0,0.063545151,warrior
1711,Grey Worm,1,,Unsullied,0,0,1,1,1,0,0,,0,0,0.140468227,warrior
1712,Greenbeard,1,Tyroshi,Brotherhood without banners,0,0,0,0,0,0,0,,0,0,0.036789298,lord
1719,Haggo,1,Dothraki,,1,0,0,0,0,0,0,,0,0,0.033444816,warrior
1720,Hazzea,0,Ghiscari,,0,0,0,0,1,0,0,5,0,0,0.043478261,smallfolk
1796,Rakharo,1,Dothraki,House Targaryen,1,1,1,1,1,0,0,,0,0,0.183946488,warrior
1802,Yoren,0,Westeros,Night's Watch,1,1,1,1,0,0,0,,0,0,0.267558528,warrior
1816,Reznak mo Reznak,1,Ghiscari,House of Reznak,0,0,0,0,1,0,1,,0,0,0.080267559,magician
1854,Ulf son of Umar,1,Vale mountain clans,Moon Brothers,1,0,0,0,0,0,0,,0,0,0.023411371,noble
1882,Quaithe,0,Asshai'i,,0,1,1,1,1,0,0,,0,0,0.127090301,smallfolk
1928,Ricasso,0,,House Martell,0,0,0,1,1,0,1,,0,0,0.070234114,smallfolk
1929,Stalwart Shield,0,,Unsullied,0,0,0,0,1,0,0,,0,0,0.043478261,warrior
47,Wenda,0,,Kingswood Brotherhood,0,0,1,1,0,0,0,,0,0,0.016722408,warrior
56,Quence,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk
73,Rawney,1,,,0,0,0,1,0,0,1,,0,0,0.010033445,smallfolk
80,Red Rolfe,1,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.013377926,warrior
107,Roelle,0,,House Tarth,0,0,0,1,0,0,0,,0,0,0,official
114,Rolfe,1,,,0,1,0,0,0,0,0,,0,0,0.003344482,warrior
138,Saathos,0,,,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk
145,Scarb,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,warrior
147,Sedgekins,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk
162,Sloey,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk
176,Sybassion,1,Qarth,,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
188,Terro,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
196,Timett (father),0,Vale mountain clans,Burned Men,1,1,0,0,1,0,0,,0,0,0.013377926,smallfolk
205,Torrek,0,Vale mountain clans,Stone Crows,1,0,0,0,0,0,0,,0,0,0,smallfolk
221,Ulf the Ill,0,Ironborn,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.013377926,warrior
224,Umar,0,Vale mountain clans,Moon Brothers,1,0,0,0,0,0,0,,0,0,0.006688963,smallfolk
226,Umma,0,,Faceless Men,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk
246,Walda Rivers (daughter of Aemon),0,,House Frey,0,0,1,0,0,0,0,10,0,0,0.026755853,smallfolk
261,Watt,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.016722408,warrior
268,Jhogo,0,Dothraki,House Targaryen,1,1,1,1,1,0,0,24,0,0,0.200668896,warrior
302,Allaquo,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk
356,Beqqo,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.003344482,smallfolk
714,Lotho Lornel,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
743,Malliard,1,,Alchemists' Guild,0,1,0,0,0,0,1,,0,0,0.006688963,magician
774,Meralyn,0,Braavosi,Happy Port,0,0,0,1,0,0,0,,0,0,0.026755853,smallfork
795,Munciter,1,,Alchemists' Guild,0,1,0,0,0,0,1,,0,0,0.006688963,magician
803,Narbert,0,,,0,0,0,1,0,0,1,,0,0,0.026755853,smallfolk
809,Nissa Nissa,1,,,0,1,0,0,0,1,0,,0,0,0.02006689,magician
818,Old Crackbones,1,,,0,0,0,1,0,0,0,,0,0,0,warrior
824,Orbelo,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfork
834,Oswyn,0,,Kingswood Brotherhood,0,0,1,0,0,0,0,,0,0,0.003344482,warrior
856,Pollitor,1,,Alchemists' Guild,0,1,0,0,0,0,1,,0,0,0.010033445,magician
860,Poul Pemford,1,,House Pemford,0,1,0,0,0,0,0,,0,0,0.006688963,warrior
874,Quaro,0,Dothraki,,1,0,0,0,1,0,0,,0,0,0.030100334,warrior
961,Conwy,0,,Night's Watch,0,1,1,1,1,0,0,,0,0,0.026755853,warrior
997,Dolf,0,Vale mountain clans,Stone Crows,1,1,0,0,1,0,0,,0,0,0.016722408,smallfolk
1013,Elder Brother,1,,Faith of the Seven,0,0,0,1,0,0,1,50,0,0,0.076923077,smallfolk
1069,Gueren,1,,Night's Watch,1,1,1,1,0,0,0,,0,0,0.013377926,warrior
1141,Jyana,0,Crannogmen,House Reed,0,0,0,1,1,1,0,,0,0,0.02006689,noble
1165,Lewys the Fishwife,0,,House Baratheon of Dragonstone,0,0,0,0,0,0,0,,0,0,0,warrior
1187,Aggo,0,Dothraki,House Targaryen,1,1,1,1,1,0,0,,0,0,0.133779264,warrior
