,name,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,identity
0,Viserys II Targaryen,1,,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,1,1,0.605351170568561,0,Blacks
1,Walder Frey,1,Rivermen,208.0,,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,1,1,0.8963210702341129,1,Lord
2,Addison Hill,1,,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,0,0,0.267558528428093,1,knight
3,Aemma Arryn,0,,82.0,105.0,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,23.0,0,0,0,0.183946488294314,0,consort
4,Sylva Santagar,0,Dornish,276.0,,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,0,0,0.0434782608695652,1,Noblewomen
5,Tommen Baratheon,1,,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,1,Seven
6,Valarr Targaryen,1,Valyrian,183.0,209.0,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,1,0.431438127090301,0,Hands of the King
7,Viserys I Targaryen,1,,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,0.678929765886287,0,Dragonriders
8,Wilbert,1,,,298.0,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.00668896321070234,0,knight
9,Wilbert Osgrey,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,1,knight
10,Will,1,,,297.0,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0,0,0.163879598662207,0,ranger
11,Will (orphan),0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535117,1,boy
12,Will (squire),1,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1,squire
13,Will (Standfast),0,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1,farmer
14,Will (Treb),1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1,farmer
15,Will Humble,1,Ironborn,,,,,,House Humble,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1,Ship captains
16,Willam,1,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1,Smallfolk
17,Willem Wylde,1,,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,1,knight
18,Willifer,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1,archmaester
19,Willit,1,,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1,service
20,Willis Wode,1,,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,0,0,0.020066889632107,1,knight
21,Willis Fell,0,,,,,,,House Fell,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581,1,knight
22,Willow Heddle,0,,289.0,,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16.0,0,0,0,0.0334448160535117,1,Smallfolk
23,Willum,1,,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0,1,knight
24,Wolmer,1,,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1,peasant
25,Willow Witch-eye,0,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240802675,0,spearwife
26,Woth,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605,0,Smallfolk
27,Wulfe,1,Ironborn,,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581,1,raider
28,Wyl the Whittler,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1,inhabitant
